Unnamed: 0,Condition (HGV),Author (HGV),License (HGV),Culture (HGV),Script Type (HGV),Previous Edition (HGV),Preservation (HGV),Origin (HGV),Catalog(s) (HGV),Work (HGV),Summary (HGV),Recto/Verso (HGV),Post-Concordance BL Entries (HGV),Genre (HGV),Material (HGV),Support Dimensions (HGV),Publications (HGV),Title (HGV),Translations (HGV),Support Material (HGV),Note (general) (HGV),Support/Dimensions (HGV),Reuse Type (HGV),Images (HGV),People (HGV),Subjects (HGV),Hands (HGV),Commentary (HGV),General Notes (HGV),Place Stored (Ancient) (HGV),Inv. no. (HGV),Principal Edition (HGV),Lines (HGV),Citations (HGV),Availability (HGV),palaeo (HGV),Provenance (HGV),Religion (HGV),catalogue (HGV),Partial Edition (HGV),Date (HGV),translation (HGV),study (HGV),Reference Edition (HGV),Fragments (HGV),reference (HGV),Associated Names (HGV),Works (HGV),Inv. Id (HGV),Form and Layout (HGV),Places (HGV),illustration (HGV),Language (HGV),Print Illustrations (HGV),Note (local/note) (HGV),Note (related) (HGV),Content (HGV),Readings (HGV),Mentioned Dates (HGV),Archive (HGV),Fragments (Tris),General Notes (Tris),Genre (Tris),Print Illustrations (Tris),Reuse Type (Tris),Date (Tris),Publications (Tris),Subjects (Tris),illustration (Tris),Origin (Tris),Translations (Tris),Reference Edition (Tris),Partial Edition (Tris),Support Dimensions (Tris),Provenance (Tris),Availability (Tris),Work (Tris),Content (Tris),Form and Layout (Tris),catalogue (Tris),License (Tris),Previous Edition (Tris),Post-Concordance BL Entries (Tris),Support Material (Tris),Principal Edition (Tris),Citations (Tris),People (Tris),translation (Tris),Commentary (Tris),Inv. Id (Tris),Place Stored (Ancient) (Tris),Support/Dimensions (Tris),Script Type (Tris),Culture (Tris),Catalog(s) (Tris),Mentioned Dates (Tris),study (Tris),palaeo (Tris),Readings (Tris),Title (Tris),Material (Tris),Images (Tris),Religion (Tris),Works (Tris),Language (Tris),Inv. no. (Tris),Places (Tris),Archive (Tris),reference (Tris),text,cleanText,Coordinates,Latitude,Longitude,relLat,relLong,Cluster
19,,,© Heidelberger Gesamtverzeichnis der griechischen Papyrusurkunden Ägyptens. This work is licensed under a Creative Commons Attribution 3.0 License.,,,,,Krokodilo,,,,,,,Ostrakon,,O.Krok. 2 240,Échange de vivres,,,,Ostrakon,,https://www.ifao.egnet.net/bases/publications/fifao81/?id=24...,,Brief (privat); Apollos an Priskos. Brot; Öl; Gemüse; Eseltreiber,,,,,,,,,,,,,,,117 - 130,,,,,,,,"Krok., 211",,,,,,,,,,,,,,,,,117 - 130,O.Krok. 2 240,Brief (privat); Apollos an Priskos. Brot; Öl; Gemüse; Eseltreiber,,Krokodilo,,,,,,,,,,,© Heidelberger Gesamtverzeichnis der griechischen Papyrusurkunden Ägyptens. This work is licensed under a Creative Commons Attribution 3.0 License.,,,,,,,,,"Krok., 211",,Ostrakon,,,,,,,,Échange de vivres,Ostrakon,https://www.ifao.egnet.net/bases/publications/fifao81/?id=24...,,,,,,,,"  Ἀπολλῶς Πρίσκος(*) [τῷ ἀδελφῷ χαί(ρειν)] 
καὶ διὰ παντὸς ὑγειαίνιν(*)· ἐ[κομισάμην] 
τὸν χοῦν τοῦ ἐλέου(*) καὶ εὐθέως [ἔδωκα] 
αὐτῷ(*) Πρόκλος(*)· οὐκ ἔπεμψά σοι χ[αλκὸν ὅτι] 
5οὐκ ὖτα(*) τὸν ὠ(*)νηλάτην(*)· ἐπὶ(*) ᾔτη̣κ̣[ας] 
(δραχμὰς) θ(*) (τετρώβολον) εὐθέως ἐὰν εὕρω τινὰ πιστὸν ἐκ[ώ](*)  
σοι πέμψω τὴν τιμήν· ἐκωμισάμην(*)  
κολλούρας τρῖς(*) παρὰ Πεβῶτος καὶ ἔδωκα 
μίαν Μαξίμῳ· κώμισε(*) δέσμην σεύτλι\ν/(*)· 
10ἄσπασον(*) Μάξιμος(*) τίρον(*) καὶ Δομίττις(*)  
καὶ Ἀπολιναρίῳ(*)· ἀσπάσετε(*) ἡμᾶς(*) Οὐαλέρις 
καὶ Οὐαλεριανὸς καὶ Χαιρήμωνι(*). 
ἔρρωσω(*). ","  Ἀπολλῶς Πρίσκος τῷ ἀδελφῷ χαίρειν 
καὶ διὰ παντὸς ὑγειαίνιν· ἐκομισάμην 
τὸν χοῦν τοῦ ἐλέου καὶ εὐθέως ἔδωκα 
αὐτῷ Πρόκλος· οὐκ ἔπεμψά σοι χαλκὸν ὅτι 
5οὐκ ὖτα τὸν ὠνηλάτην· ἐπὶ ᾔτη̣κ̣ας 
δραχμὰς θ τετρώβολον εὐθέως ἐὰν εὕρω τινὰ πιστὸν ἐκώ  
σοι πέμψω τὴν τιμήν· ἐκωμισάμην  
κολλούρας τρῖς παρὰ Πεβῶτος καὶ ἔδωκα 
μίαν Μαξίμῳ· κώμισε δέσμην σεύτλι\ν/· 
10ἄσπασον Μάξιμος τίρον καὶ Δομίττις  
καὶ Ἀπολιναρίῳ· ἀσπάσετε ἡμᾶς Οὐαλέρις 
καὶ Οὐαλεριανὸς καὶ Χαιρήμωνι. 
ἔρρωσω. ","25.903737,33.397573",25.903737,33.397573,33.85010694,18.66081564285714,9
20,,,© Heidelberger Gesamtverzeichnis der griechischen Papyrusurkunden Ägyptens. This work is licensed under a Creative Commons Attribution 3.0 License.,,,,,Krokodilo,,,,,,,Ostrakon,,O.Krok. 2 282,Le petit monde d'Ischyras,,,,Ostrakon,,https://www.ifao.egnet.net/bases/publications/fifao81/?id=28...,,Brief (privat); Zosime an Parabolos; Zusendung; Linsen; Öl; Preis,,,,,,,,,,,,,,,98 - 117,,,,,,,,"Krok., 532",,,,,,,,,,,,,,,,,98 - 117,O.Krok. 2 282,Brief (privat); Zosime an Parabolos; Zusendung; Linsen; Öl; Preis,,Krokodilo,,,,,,,,,,,© Heidelberger Gesamtverzeichnis der griechischen Papyrusurkunden Ägyptens. This work is licensed under a Creative Commons Attribution 3.0 License.,,,,,,,,,"Krok., 532",,Ostrakon,,,,,,,,Le petit monde d'Ischyras,Ostrakon,https://www.ifao.egnet.net/bases/publications/fifao81/?id=28...,,,,,,,,"  Ζωσίμη Παραβ[όλῳ χαί(ρειν).] 
πρὸ πάντων εὔχω̣[μαί](*) [σε ⁦ -ca.?- ⁩ .] 
γινόσχιν(*) σε θέλω ὅτ[ι ἔπεμψά σοι] 
φαχοῦ(*) μάτια ζ· σὺ δ[ὲ ἔγραψάς μοι] 
5λέγον(*)· ' πέμψον μοι μά[τια ⁦ -ca.?- ⁩·] ' 
κόμισαι παρὰ Λυ< > φαχοῦ(*) μά[τια ⁦ -ca.?- ⁩ ·] 
τὰ ἄλλα πέμψω σοι με[τὰ τῆς] 
πορήας(*). γεινόσκιν(*) σε θ[έλω ὅτι] 
τὸ ἔλαιν(*) τὸ χρηστὸν (δραχμῶν)   ̣[  ̣(?) καὶ τὸ] 
10ῥαφάνινον (δραχμῶν) ιϛ· ελα[⁦ -ca.?- ⁩] 
προκ  ̣[⁦ -ca.?- ⁩] ","  Ζωσίμη Παραβόλῳ χαίρειν. 
πρὸ πάντων εὔχω̣μαί σε ⁦ -ca.?- ⁩ . 
γινόσχιν σε θέλω ὅτι ἔπεμψά σοι 
φαχοῦ μάτια ζ· σὺ δὲ ἔγραψάς μοι 
5λέγον· ' πέμψον μοι μάτια ⁦ -ca.?- ⁩· ' 
κόμισαι παρὰ Λυ  φαχοῦ μάτια ⁦ -ca.?- ⁩ · 
τὰ ἄλλα πέμψω σοι μετὰ τῆς 
πορήας. γεινόσκιν σε θέλω ὅτι 
τὸ ἔλαιν τὸ χρηστὸν δραχμῶν   ̣  ̣? καὶ τὸ 
10ῥαφάνινον δραχμῶν ιϛ· ελα⁦ -ca.?- ⁩ 
προκ  ̣⁦ -ca.?- ⁩ ","25.903737,33.397573",25.903737,33.397573,33.85010694,18.66081564285714,9
